title,overview,genres,poster_path,vote_average,genres_cleaned
Deool Band 2,"The story follows a farmer who decides to question and test his faith, setting off a journey filled with emotional and life-altering moments. At its core, the narrative centers on a woman who tirelessly struggles for her family, facing hardships with resilience, as her path ultimately leads her to confront the very idea of divine power","['Comedy', 'Drama']",/89n9cfc5dm0kdkABmDJalzveEwU.jpg,0.0,[]
The Shawshank Redemption,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.","['Drama', 'Crime']",/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg,8.722,[]
The Unknown Man,"Louis, a Flemish writer, decides to isolate himself at the Côte d’Azur, hoping this place will bring him inspiration.",['Drama'],/4TpBhdaSl5ALHbgeaYOLF8Q3haz.jpg,7.8,[]
In the Grey,"A covert team of elite operatives are living in the shadows. When a ruthless despot steals a billion-dollar fortune, they're sent to take it back—an impossible heist that erupts into a deadly game of strategy, deception and survival.","['Action', 'Thriller']",/dQgIcW6Th08kMRf2HBoYWoFE6OD.jpg,6.5969999999999995,[]
System,"When Neha Rajvansh, a privileged public prosecutor, meets Sarika Rawat, a courtroom stenographer from a humble background, their lives are thrown into upheaval where power defines truth, blurring the system and raising a question of what justice truly means to them.",['Thriller'],/wznZGK0WTgbIJWuZVdWG3oPECL.jpg,7.5,[]
Interstellar,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,"['Adventure', 'Drama', 'Science Fiction']",/yQvGrMoipbRoddT0ZR8tPoR7NfX.jpg,8.5,[]
Mortal Game,"A group of hunters travel to a mysterious island to track down a legendary forest creature. They soon realize their guide has set them up as bait, forcing them to confront a highly intelligent predator that terrorizes them one by one.","['Horror', 'Action']",/iCvucorbs3hFqWshDbLe0fHzB71.jpg,4.917,[]
KD – The Devil,"In the early 1970s, a petty criminal Kaali unwittingly involves himself with underworld thugs, catalyzing events beyond his control.","['History', 'Crime', 'Action', 'Fantasy']",/nEuEMJrnLBneE9tJlmzbhCFLu95.jpg,5.0,[]
Avatar Aang: The Last Airbender,"Avatar Aang, the world's last Airbender, learns of an ancient power that could save his culture from extinction. With the help of his friends, he embarks on a global quest to find it before it falls into the wrong hands and threatens to upend the peace they sacrificed everything to achieve.","['Animation', 'Action', 'Adventure', 'Fantasy']",/29Jdsak3SrwGds5k1t43kH6Khed.jpg,0.0,[]
Masters of the Universe,"After being separated for 15 years, the Sword of Power leads Prince Adam back to Eternia, where he discovers his home shattered under the fiendish rule of Skeletor. To save his family and his world, Adam must join forces with his closest allies, Teela and Duncan/Man-At-Arms, and embrace his true destiny as He-Man — the most powerful man in the universe.","['Action', 'Fantasy', 'Science Fiction']",/3YMd9Ogae4rDKLWuAZFuse9xhc5.jpg,7.7,[]
7 Dogs,Interpol agent Khalid Al-Azzazi joins forces with Ghali Abu Dawood from the 7 Dogs crime syndicate to fight drug trafficking.,"['Action', 'Comedy']",/66n5bB6iYTWsWMz0mh3Qv7qmzIJ.jpg,4.333,[]
From Straight A's to XXX,"When a change of circumstances leaves Miriam unable to pay her college tuition, she makes a surprising decision: to start performing in adult films, using the pseudonym Belle Knox. Miriam lies to her family and her friends at school, keeping her double life a secret. But soon rumours spread and Miriam becomes the subject of vicious online attacks and unwanted attention. Miriam fights back: she talks to the media, saying her new line of work empowers her as a feminist. But her confident stand has unintended consequences. Miriam is shunned by her conservative family and her colleagues in the adult film world. One impulsive decision has quickly spiralled out of control - and Miriam's problems are just beginning.","['Drama', 'TV Movie']",/kvcdaGcres9pGDwZfPN9jOKfZh.jpg,5.843,[]
Dime lo que quieres (de verdad),"Diego and Emilia are a conservative couple with 16 years of marriage who have lost the spark, until Tomás and Betina rescue them and introduce them to the forbidden world, changing what they know about intimacy, relationships, and sex.","['Romance', 'Drama', 'Comedy']",/2ynUMfrwnEdGmkZmpiiJmTdTi4w.jpg,7.629,[]
Fuze,An unexploded WWII bomb is discovered on a busy construction site in the centre of London. Chaos ensues as the military and police begin a mass evacuation against a ticking clock.,"['Action', 'Crime', 'Drama', 'Thriller']",/oMFdQE5hMJ9JjhNORegwTo0GKmh.jpg,6.415,[]
Remarkably Bright Creatures,"Through unlikely bonds formed during night shifts at a local aquarium, Tova, an elderly widow, learns of a life-changing discovery that may bring her joy and wonder once again.","['Drama', 'Mystery']",/9HcEqn3D4J6b2Z0jK54id9nA0fr.jpg,8.555,[]
Accidental Partners,Two women discover they were both scammed by the same man (who also got them pregnant). They form an alliance to take revenge.,"['Comedy', 'Romance']",/sr1Yoj6XLPTWYcbDoBy67xivW4I.jpg,9.095,[]
Shelter,"A man living in self-imposed exile on a remote island rescues a young girl from a violent storm, setting off a chain of events that forces him out of seclusion to protect her from enemies tied to his past.","['Action', 'Crime', 'Thriller']",/buPFnHZ3xQy6vZEHxbHgL1Pc6CR.jpg,7.623,[]
Greenland 2: Migration,"Having found the safety of the Greenland bunker after the comet Clarke decimated the Earth, the Garrity family must now risk everything to embark on a perilous journey across the wasteland of Europe to find a new home.","['Adventure', 'Thriller', 'Science Fiction']",/z2tqCJLsw6uEJ8nJV8BsQXGa3dr.jpg,6.438,[]
Mexican Psycho,"Follows an ""ultra-violent and intelligent"" psychopath who challenges the police by leaving a white paper rabbit at each crime scene, connecting them all.","['Thriller', 'Horror']",/7tIgfsTWuzXKR2kLRUPrLRTbcuo.jpg,7.425,[]
The Last Supper,"In a deserted house, a mysterious man savors an exquisite menu in the company of an unseen guest. From this eerie dinner table, a succession of terrifying stories is revealed-each probing primal fears of hunger, flesh, and survival.",['Horror'],/6rGa9huzhmG1i2iu2Vcyv5HI02t.jpg,10.0,[]
Kartavya,"With his family's safety at stake and menacing threats closing in, a police officer must decide how far he'll go to uphold his duty.","['Crime', 'Drama', 'Thriller']",/doTwMyAphlDL5Z8WqE3elWWvj8M.jpg,6.471,[]
Worldbreaker,"Five years ago, a tear in the fabric of reality brought creatures to our world from an alternate dimension bent on our destruction. A father hides his daughter on an island to keep her safe while he prepares her for survival and the battles to come. But when the world is about to break, no place is safe.","['Science Fiction', 'Action', 'Horror']",/ahj1JU8r0uJv7QII5Uj7tKzbEsC.jpg,6.028,[]
Predator: Badlands,"Cast out from his clan, a young Predator finds an unlikely ally in a damaged android and embarks on a treacherous journey in search of the ultimate adversary.","['Action', 'Science Fiction', 'Adventure']",/pHpq9yNUIo6aDoCXEBzjSolywgz.jpg,7.759,[]
Colony,"Professor Se-jeong is thrust into a bloody nightmare when a rapidly mutating virus is released during a biotech conference causing authorities to seal the facility. Trapped inside with no escape, Se-jeong along with a small group of survivors must fight to stay alive while the infected undergo horrific transformations.","['Action', 'Thriller', 'Horror']",/tN799oUR0f1gUKDYdMNrDaY7I51.jpg,6.453,[]
The Sheep Detectives,"George Hardy is a shepherd who reads detective novels to his beloved sheep every night, assuming they can't possibly understand. But when a mysterious incident disrupts life on the farm, the sheep realize they must become the detectives. As they follow the clues and investigate human suspects, they prove that even sheep can be brilliant crime-solvers.","['Comedy', 'Family', 'Mystery']",/hTirV44jiLh6NqdiB6jtxPsDIoG.jpg,7.6,[]
Michael Jackson: The Life of an Icon,"See Michael Jackson, one of the most recognizable and popular entertainers of all time, like never before in the feature-length tribute Michael Jackson: The Life of an Icon. Known to millions of fans worldwide for his record-breaking albums, groundbreaking music videos, mesmerizing dance moves and humanitarian efforts, his true story has never really been told...until now. This unprecedented look into the King of Pop's fascinating life includes all-new interviews with his mother Katherine Jackson as well as siblings Tito and Rebbie Jackson,  his nephew  Jaafar Jackson and niece Tahkyah brings plenty Jackson and Friends ends and music legends such as Smokey Robinson, Dionne Warwick and  his 3 children and many more.","['Documentary', 'Music']",/tOCYV9JCXXFtb7YehKXJBMKI4aD.jpg,8.137,[]
Monika,"Monika is young, beautiful and a virgin. She is only 16 years old, and, beside getting the attention of all her classmates, she also attracts older men. She has a relationship with a boy, Leo, but she doesn't know that he uses to pimp the girls he seduces to rich businessmen. One of Leo's client befriends Monika and becomes so obsessed that he pays Leo to get her. But Monika turns her attention to her art professor, unknowing that he too has his secrets.","['Romance', 'Drama']",/y8Byo8Mwd1a9JwISWLYR0zVxA5.jpg,4.7,[]
My Dearest Assassin,"Hunted for her rare blood type, a caged woman vows to fight alongside the assassin she loves to protect their future when an old enemy resurfaces.","['Action', 'Drama', 'Romance']",/ul4dQcA68mtSx8J56N5gEcaCCtP.jpg,8.627,[]
Disclosure Day,"If you found out we weren’t alone, if someone showed you, proved it to you, would that frighten you?","['Mystery', 'Science Fiction', 'Thriller']",/3o5YPjDGDTcTDL5ftDA9NwN9dLd.jpg,0.0,[]
Scary Movie,"Twenty-six years after outrunning a suspiciously familiar masked killer, the Core Four are back in the killer's crosshairs and no horror movie IP is safe.","['Comedy', 'Horror']",/2OHkZEqQL4OjYXIqWopJu0BijTD.jpg,5.429,[]
Toy Story 5,"When Bonnie receives a Lilypad tablet as a gift and becomes obsessed, Buzz, Woody, Jessie and the rest of the gang's jobs become exponentially harder when they have to go head to head with the all-new threat to playtime.","['Animation', 'Family', 'Comedy', 'Adventure']",/7BuN6lQCAq1tLz2l3g6sHVSFGib.jpg,0.0,[]
Virgin,"Iris, an 18-year old virgin marries Joaquin, a rich widower, because of money. However, when he learns that Iris is not really a virgin, their honeymoon turns to a bloodbath.","['Drama', 'Romance']",/iVS3ZiPsKy8Hhc5Dipqgrjmoj2b.jpg,6.591,[]
The Avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!","['Science Fiction', 'Action', 'Adventure']",/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg,8.035,[]
The Drama,A happily engaged couple is put to the test when an unexpected turn sends their wedding week off the rails.,"['Romance', 'Comedy', 'Drama']",/89Dw1ujPlIPRLddhzNuJM4F401D.jpg,6.945,[]
Night Silence,"A theatre actor whose health is failing gets admitted to a nursing home. Soon, he starts having nightmares that seemingly become deceptively real. The so-called nightmares were able to make him live in two parallel dimensions.","['Horror', 'Drama', 'Mystery']",/gBYhjuq0ZEDN710C5sKVq45y1pA.jpg,4.7,[]
Avengers: Infinity War,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.","['Adventure', 'Action', 'Science Fiction']",/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,8.236,[]
Send Help,"Two colleagues become stranded on a deserted island, the only survivors of a plane crash. On the island, they must overcome past grievances and work together to survive, but ultimately, it's a battle of wills and wits to make it out alive.","['Horror', 'Thriller', 'Comedy']",/zbJWVHOtj3ljBzWgL1P8pxP03Up.jpg,7.043,[]
War of the Worlds,"Will Radford is a top analyst for Homeland Security who tracks potential threats through a mass surveillance program, until one day an attack by an unknown entity leads him to question whether the government is hiding something from him... and from the rest of the world.","['Science Fiction', 'Thriller']",/yvirUYrva23IudARHn3mMGVxWqM.jpg,4.105,[]
Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.","['Science Fiction', 'Action', 'Adventure']",/gKY6q7SjCkAU6FqvqWybDYgUKIF.jpg,7.605,[]
Dracula,"In late 15th-century Eastern Europe, Prince Vlad II’s bride is brutally murdered. As a result, he renounces God and damns Heaven itself. Cursed with eternal life, Vlad is reborn as Dracula, an immortal warlord who defies fate in a blood-soaked crusade to wrench his lost love back from death.","['Horror', 'Fantasy', 'Romance']",/dYRqA50yd0nB3qBR7AtWEJJQ8q.jpg,7.129,[]
Drishyam 3,"To protect his family and their dark secret, Georgekutty faces an organized new threat. As walls close in and cracks widen, how much more is he willing to sacrifice ?","['Crime', 'Drama', 'Thriller']",/456FlpiU1iOBnaOxSd783QhZKWw.jpg,7.0,[]
Ready or Not: Here I Come,"Moments after surviving an all-out attack from the Le Domas family, Grace discovers she’s reached the next level of the nightmarish game — and this time with her estranged sister Faith at her side. Grace has one chance to survive, keep her sister alive, and claim the High Seat of the Council that controls the world. Four rival families are hunting her for the throne, and whoever wins rules it all.","['Thriller', 'Horror', 'Comedy']",/13ZcJzSGEqVgDSqsS9U5EkQwPkV.jpg,7.698,[]
Bosco d'amore,"The time is the mid-14th century --- the Pope is now residing at Avignon, the Black Death is killing millions across Europe, and civil wars are adding to the turmoil and chaos. In this story adapted from Giovanni Boccaccio's Decameron, a young teenage couple is sent to live in a nearby town by the man's uncle, in an attempt to keep them safe from harm. She is from the lower classes, and he comes from a noble family -- a family that opposes his choice of a future bride. While en route to the town, the couple's horses are stolen and they are forced to continue through the forest on foot -- at a pace that introduces them to a kaleidoscope of Boccaccio's characters, from masters of mysticism, to soldiers of the warring Papal armies. Somehow, the couple manage to get through this gauntlet of sorts, and they do marry. Just as they are ready to go back to Rome, they hear that there is an insurrection in the offing, and suddenly, their brief spate of stability is threatened again.","['Drama', 'Romance']",/jNV46xSIONTEvIAWon6NnveH7eG.jpg,4.667,[]
My Fault,"Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.","['Drama', 'Romance', 'Thriller']",/w46Vw536HwNnEzOa7J24YH9DPRS.jpg,7.735,[]
Propeller One-Way Night Coach,"During the golden age of aviation, a young airplane enthusiast and his mother embark on a cross-country journey to Hollywood—and their simple flight transforms into the trip of a lifetime.","['Adventure', 'Drama', 'Family']",/joal4OSVC4T1yFb3kph91tkNNFf.jpg,6.421,[]
